"","satfin","income16","new_income_range"
"2676","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"2677","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"2678","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"2679","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2680","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2681","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"2682","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"2683","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"2684","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2685","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"2686","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2687","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2688","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2689","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2690","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"2691","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2692","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"2693","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"2694","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2695","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2696","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2697","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2698","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2699","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2700","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2701","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"2702","Pretty well satisfied","$22500 TO 24999","20 000 to 39 999"
"2703","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2704","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2705","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2706","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2707","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2708","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2709","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2710","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2711","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2712","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2713","Pretty well satisfied","$22500 TO 24999","20 000 to 39 999"
"2714","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2715","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"2716","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"2717","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2718","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2719","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2720","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"2721","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2722","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2723","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"2724","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2725","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2726","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2727","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2728","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2729","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2730","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2731","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2732","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"2733","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2734","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2735","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2736","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2737","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"2738","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2739","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2740","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2741","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2742","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2743","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2744","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2745","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2746","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2747","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2748","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"2749","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2750","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2751","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2752","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"2753","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2754","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2755","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2756","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"2757","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2758","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2759","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2760","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2761","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2762","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2763","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2764","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2765","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2766","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2767","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2768","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2769","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2770","More or less satisfied","$7 000 TO 7 999","0 to 9 999"
"2771","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2772","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2773","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2774","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2775","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2776","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2777","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2778","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2779","More or less satisfied","UNDER $1 000","0 to 9 999"
"2780","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"2781","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2782","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2783","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2784","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2785","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"2786","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"2787","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2788","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2789","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2790","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"2791","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2792","More or less satisfied","$6 000 TO 6 999","0 to 9 999"
"2793","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2794","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2795","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2796","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2797","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2798","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2799","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2800","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2801","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2802","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"2803","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2804","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2805","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2806","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2807","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2808","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2809","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2810","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"2811","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2812","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"2813","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"2814","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2815","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2816","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2817","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"2818","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2819","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2820","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"2821","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2822","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"2823","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2824","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2825","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"2826","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2827","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2828","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2829","Not satisfied at all","$3 000 TO 3 999","0 to 9 999"
"2830","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2831","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2832","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2833","Pretty well satisfied","UNDER $1 000","0 to 9 999"
"2834","Not satisfied at all","UNDER $1 000","0 to 9 999"
"2835","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2836","Not satisfied at all","$130000 TO $149999","90 000 to 170 000"
"2837","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2838","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2839","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2840","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2841","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2842","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"2843","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2844","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2845","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2846","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2847","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2848","Not satisfied at all","UNDER $1 000","0 to 9 999"
"2849","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2850","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2851","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2852","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2853","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2854","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2855","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"2856","Pretty well satisfied","$17500 TO 19999","10 000 to 19 999"
"2857","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2858","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"2859","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2860","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2861","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2862","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"2863","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"2864","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2865","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2866","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2867","Not satisfied at all","$5 000 TO 5 999","0 to 9 999"
"2868","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2869","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2870","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"2871","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2872","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2873","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2874","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2875","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2876","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2877","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2878","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"2879","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"2880","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2881","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2882","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2883","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"2884","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"2885","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"2886","Pretty well satisfied","UNDER $1 000","0 to 9 999"
"2887","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"2888","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2889","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2890","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2891","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2892","More or less satisfied","UNDER $1 000","0 to 9 999"
"2893","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"2894","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2895","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2896","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2897","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2898","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2899","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2900","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2901","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"2902","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"2903","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2904","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"2905","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"2906","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2907","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"2908","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"2909","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2910","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2911","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"2912","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2913","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2914","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2915","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"2916","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2917","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"2918","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"2919","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"2920","Not satisfied at all","UNDER $1 000","0 to 9 999"
"2921","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2922","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2923","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"2924","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"2925","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"2926","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"2927","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"2928","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2929","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2930","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2931","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2932","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2933","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2934","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"2935","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2936","Not satisfied at all","UNDER $1 000","0 to 9 999"
"2937","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2938","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2939","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2940","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2941","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2942","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2943","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2944","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2945","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2946","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"2947","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2948","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"2949","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2950","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2951","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2952","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2953","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"2954","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2955","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2956","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2957","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2958","Pretty well satisfied","$15000 TO 17499","10 000 to 19 999"
"2959","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2960","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2961","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2962","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2963","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2964","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2965","Not satisfied at all","UNDER $1 000","0 to 9 999"
"2966","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2967","Not satisfied at all","$150000 TO $169999","90 000 to 170 000"
"2968","More or less satisfied","$6 000 TO 6 999","0 to 9 999"
"2969","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"2970","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2971","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2972","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"2973","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2974","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2975","Pretty well satisfied","$12500 TO 14999","10 000 to 19 999"
"2976","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2977","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2978","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"2979","Pretty well satisfied","$1 000 TO 2 999","0 to 9 999"
"2980","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2981","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2982","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2983","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2984","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2985","Pretty well satisfied","$15000 TO 17499","10 000 to 19 999"
"2986","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"2987","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2988","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"2989","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2990","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2991","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"2992","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2993","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2994","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2995","Pretty well satisfied","$22500 TO 24999","20 000 to 39 999"
"2996","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"2997","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2998","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2999","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"3000","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3001","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3002","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"3003","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"3004","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"3005","Not satisfied at all","$7 000 TO 7 999","0 to 9 999"
"3006","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"3007","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"3008","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"3009","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"3010","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"3011","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"3012","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"3013","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3014","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"3015","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3016","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3017","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"3018","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3019","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"3020","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"3021","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3022","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"3023","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"3024","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"3025","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"3026","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3027","Not satisfied at all","UNDER $1 000","0 to 9 999"
"3028","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3029","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"3030","Pretty well satisfied","$10000 TO 12499","10 000 to 19 999"
"3031","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"3032","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3033","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3034","Pretty well satisfied","$20000 TO 22499","20 000 to 39 999"
"3035","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"3036","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3037","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"3038","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"3039","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"3040","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"3041","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"3042","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"3043","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"3044","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"3045","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"3046","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"3047","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"3048","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"3049","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"3050","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3051","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"3052","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"3053","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3054","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"3055","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3056","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"3057","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"3058","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3059","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"3060","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"3061","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"3062","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3063","Pretty well satisfied","$1 000 TO 2 999","0 to 9 999"
"3064","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3065","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3066","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"3067","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"3068","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"3069","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"3070","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"3071","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"3072","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"3073","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"3074","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"3075","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"3076","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3077","Pretty well satisfied","$1 000 TO 2 999","0 to 9 999"
"3078","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3079","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"3080","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"3081","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"3082","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3083","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"3084","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"3085","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"3086","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"3087","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"3088","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
